gate (V),density (e12 cm^-2),Fermi wavenumber (nm^-1),Fermi wavelength (nm),Fermi velocity (e6 m/s),Fermi energy (meV),mobility xx (e3 cm^2/V.s),mobility yy (e3 cm^2/V.s),mean free time xx (fs),mean free time yy (fs),mean free path xx (nm),mean free path yy (nm),diffusion coefficient xx (m^2/s),diffusion coefficient yy (m^2/s)
-4.100000000000006,1.3211473854401643,0.28811480074470946,21.80792271323451,1.11181231379417,105.42238093154776,1.2591180006610383,1.1168368576648524,21.476637625499656,19.04976377613309,23.877990170925703,21.1797619411749,0.013273921750345677,0.011773960064713682
-4.000000000000005,1.4089196095373102,0.2975315611769956,21.117710276933764,1.1481508502997704,112.42626024581183,1.6315389316255506,1.4669956841207368,27.82898059436906,25.022384470313558,31.95186773240065,28.729472006118282,0.018342782052810803,0.01649288385624408
-3.900000000000005,1.473734264189093,0.3042982989673131,20.648111831392484,1.1742631582410679,117.59821553857464,2.067591281986956,1.8879716600662166,35.26667770420525,32.20292551545429,41.41236034160991,37.81470902037922,0.024314504522478,0.022202209821118753
-3.7000000000000055,1.6526686764030567,0.3222425103119019,19.49831293549081,1.2435084558886416,131.87648000329088,2.9747003653916426,2.7609100172724657,50.73913783967603,47.09253932232147,63.09454694813648,58.559970856575106,0.0392293013252353,0.03640990946837178
-3.600000000000005,1.7517158631604297,0.3317582760650142,18.939046168506973,1.280229046126092,139.78005712694014,3.438594012377185,3.213188661176647,58.6517208921377,54.80700654126595,75.08763669139522,70.16552170535138,0.048064686748643726,0.0449139694618908
-3.5000000000000044,1.8500710924331465,0.34094485632157046,18.428743506995296,1.3156793354708165,147.62841875658793,3.9145377053235904,3.6750287067524834,66.76984025679266,62.684561539740365,87.84769905854957,82.47278227088512,0.057789701159996376,0.054253867686293734
-3.400000000000005,1.9484104233114217,0.3498888929947031,17.957658653870748,1.3501936682385618,155.47551175669932,4.379076924715485,4.134084138883638,74.6934347669771,70.51461969213116,100.85060268136256,95.20839302656572,0.06808392258920933,0.06427488471381874
-3.300000000000005,2.045730842339786,0.3585206545100779,17.525309150641885,1.3835029557785377,163.2412995865015,4.824566058461466,4.580806454806564,82.2920940558898,78.13431323416911,113.85135536352897,108.09905330719907,0.07875684333241749,0.0747776798836858
-3.2000000000000046,2.131811391661526,0.3659858742324048,17.167835562936773,1.4123106504579113,170.1101898870109,5.2590742998601865,5.018290025638135,89.7034534685217,85.59642251457534,126.68914271644886,120.88873915843008,0.08946221277791151,0.08536622691693958
-3.100000000000004,2.2255658682184456,0.37394709202440013,16.802337660028137,1.4430323626054957,177.59142949021268,5.612949523141256,5.38445040295805,95.73946433570038,91.84197990664461,138.15514541493027,132.53094925105182,0.09968117294710634,0.09562322440804719
-3.0000000000000044,2.3110127881064195,0.38105802176222964,16.48878897266761,1.47047288015131,184.40975864646822,5.906542489834092,5.702816416585503,100.74724736457223,97.272314079742,148.146094999499,143.03629984382104,0.10892240749854146,0.10516549989876496
-2.900000000000005,2.3996532613279826,0.38829712996494775,16.181384878499568,1.4984080282931853,191.4829208363195,6.106478274464137,5.9266607489826475,104.1575301121901,101.09040230411132,156.07047932729486,151.47467039586834,0.11692862960179214,0.11348543110211663
-2.8000000000000043,2.4870536741551197,0.3953051872113299,15.89451773072889,1.52545156900044,198.45713106916742,6.212519146902188,6.059690374090946,105.96625764181654,103.35947402765673,161.6463939808139,157.66987182654918,0.12329187266064792,0.12025887668095385
-2.7000000000000037,2.5787781262513794,0.40252876708800295,15.609282667258222,1.5533267945556766,205.77638268045348,6.218878768710807,6.093037773338776,106.07473301342368,103.928276958774,164.7687250150906,161.43457731206703,0.12796983773535825,0.12538032725330184
-2.600000000000004,2.669816244044387,0.40957234034354756,15.340843822386237,1.580507388743772,213.04086750556476,6.146565406113825,6.047204456523701,104.84129191960929,103.14650310128384,165.7024365243852,163.0238102746615,0.13094696262981834,0.1288301683401327
-2.5000000000000044,2.7629058505892465,0.4166515264047747,15.080192700591489,1.6078254099428508,220.46905308886406,6.015975109697842,5.937293797361394,102.61382755800042,101.27176904397595,164.98511935924705,162.8273235787684,0.1326336335841258,0.13089895414146524
-2.400000000000004,2.8610436184985137,0.42398664161680594,14.819300162900543,1.6361310415687018,228.30006215440875,5.836198623798601,5.774774500259512,99.54739975757451,98.49969521993752,162.87259085081632,161.15840893439608,0.13324045085586955,0.13183813773369413
-2.3000000000000034,2.96008849976422,0.4312630817687716,14.569263108286217,1.6642102507611174,236.20345530886328,5.634919078921588,5.59077803903736,96.11419663882025,95.36128776331485,159.95423128999437,158.70123262148928,0.13309873568271166,0.13205610906855356
-2.2000000000000037,3.0624024592480277,0.43865296233603435,14.32381824966747,1.6927272175775188,244.3677080865525,5.4245342103846195,5.39554835619206,92.52568501315471,92.03127647763037,156.6207453467713,155.78384656208658,0.13255809924287865,0.13184977856728197
-2.100000000000003,3.166839719760168,0.4460699586095191,14.085649988099206,1.7213488217676225,252.70139196050576,5.216996086335032,5.197477930638073,88.98572999595305,88.65281095516292,153.1754814826656,152.6024116840575,0.13183421728693737,0.13134099077562503
-2.0000000000000036,3.2733384394839926,0.45350845624301184,13.85461554395526,1.7500533980117778,261.19957219624575,5.0222674102400156,5.010962231451525,85.66426432745307,85.47143313291497,149.91703687443834,149.57957198719427,0.13118140990098393,0.13088611911466835
-1.9000000000000032,3.382088860168192,0.4609803795584422,13.630049316194413,1.7788869613287217,269.87742933935033,4.842115834704834,4.837099004046142,82.5914386642502,82.50586713399757,146.92083335721554,146.76861127778818,0.13067777740335032,0.1305423844671905
-1.8000000000000032,3.4966559472619694,0.4687231301322618,13.404897055979784,1.808765625695698,279.01943365387575,4.671554864967558,4.672422171341941,79.68219891215534,79.69699246184898,144.12642237215374,144.1531804363216,0.13034545927062557,0.13036965880396406
-1.700000000000003,3.606859370080751,0.47605215889810215,13.198522871365629,1.837047770205286,287.81323466987004,4.524244552736985,4.529409812344656,77.1695430748039,77.25764634135822,141.76413703332926,141.92598694270072,0.13021374591607712,0.13036240892363646
-1.600000000000003,3.7283836823136896,0.4840054294348515,12.981642198758271,1.8677388145210876,297.5103982701272,4.383229388684128,4.391627288922493,74.76426288940937,74.90750495261533,139.6401157376084,139.90765449893024,0.1304056321136741,0.13065547837812894
-1.5000000000000029,3.850264692628028,0.49185289005425953,12.77452147630249,1.8980215467032624,307.2360249786107,4.256665579364097,4.26785317890102,72.60547787653361,72.79630353467492,137.80676141834783,138.16895262916384,0.13078010122671002,0.1311238245877877
-1.4000000000000028,3.9727682214881566,0.4996162419105724,12.576022915412404,1.927979709796083,317.01132622605525,4.143439888157245,4.157187921242189,70.67419968126548,70.90869837358319,136.2584229915566,136.7105317123189,0.13135173740826664,0.13178756562839242
-1.3000000000000027,4.102466807735158,0.5077062060833359,12.375632269006084,1.9591982440823592,327.3607648400212,4.0368282448107555,4.052642256505661,68.85573657486123,69.1254744377133,134.90203819246557,135.4305081397279,0.13214991817490496,0.1326676068712683
-1.2000000000000026,4.231995766591722,0.5156589339931513,12.184769608322224,1.989887194443579,337.6966678533659,3.940263810256461,3.9585990081703,67.20864760675414,67.5213890663954,133.73762722855116,134.3599474542629,0.13306139591868144,0.13368056944267495
-1.1000000000000025,4.37308992716407,0.5241844558677062,11.986592194495246,2.0227865115808843,348.95542861465617,3.8458782097821413,3.8655416073511466,65.59872277255437,65.93411918802452,132.6922116012568,133.37064694650238,0.13420400790942935,0.13489017284210061
-1.0000000000000024,4.512620486310508,0.5324812741915323,11.79982397825982,2.054803279736841,360.089420113286,3.7614753612398046,3.781317923412727,64.15907264305733,64.49752504952407,131.83427289182845,132.52972600667113,0.1354467481599254,0.1361612578305664
-0.9000000000000024,4.6558150633691575,0.5408636500922066,11.616948756139235,2.087150207840264,371.5157858741199,3.6817898753614897,3.704183820403283,62.79988605107632,63.18185711527796,131.07279522384883,131.87002620988625,0.13678430589683022,0.13761627630593257
-0.8000000000000023,4.79985542148436,0.5491664689404918,11.44131272126237,2.119190131547291,383.00964164682637,3.609001317134296,3.6351178654818765,61.55833959752128,62.00380669797998,130.45382578950392,131.397855272725,0.1382282301178531,0.139228519100219
-0.7000000000000022,4.95070639685218,0.557729376067476,11.265652441479837,2.152233715427914,395.04695797079063,3.5386930827428773,3.5643377568894103,60.35909975556807,60.796518149539054,129.90688952681037,130.84831614206306,0.13979499375298535,0.14080807880395935
-0.6000000000000021,5.098317603710798,0.5659829878977876,11.101367782302114,2.1840837531298947,406.8257534713624,3.475534594788971,3.5028819799018764,59.281812354348794,59.74827370250403,129.47644321922826,130.4952338711972,0.14139369802408094,0.14250626007948392
